Node,Community,Proximity to SOD1,Relative subgraph centrality,Subgraph centrality,Participation coefficient
4932.YDR296W,13,2,5.705593898616061e-05,1.0018746896489128,0.23511553381683248
4932.YDL044C,6,3,1.9376356796114123e-07,1.0001500573391533,0.0
4932.YLL041C,6,2,5.715868515128041e-05,1.001911817025121,0.541511111111111
4932.YPL215W,6,3,1.6535990760521181e-06,1.0005211189739485,0.1652892561983471
4932.YJR104C,7,0,1.0010522741933616,1.0010522741933616,0.7433227704843821
4932.YPL005W,6,3,1.6694706416798578e-07,1.0001542952131055,0.21875
4932.YBR017C,12,3,2.750163391172539e-07,1.0003718748264756,0.4140625
4932.YIL070C,13,3,1.1818077875139091e-06,1.0002272297709587,0.5833333333333333
4932.YCR053W,4,3,4.302964608385654e-07,1.000495477345696,0.24489795918367352
4932.YPR155C,6,3,1.0597218899101313e-07,1.0001832935555361,0.49382716049382713
4932.Q0130,6,2,2.9301122855333243e-05,1.0017252242640575,0.2125603864734299
4932.Q0110,6,3,1.0953805956646326e-06,1.0005462496327815,0.0
4932.YOR358W,3,3,1.3232049071091982e-07,1.0002535565123905,0.5454545454545454
4932.YJR115W,13,3,2.6314295110247375e-07,1.0000378949145656,0.5
4932.YMR145C,6,2,2.4647377580457063e-05,1.0010634975528903,0.2903033908387864
4932.YER154W,6,2,4.571530950259488e-05,1.0011325080016222,0.49112426035502954
4932.YBL072C,5,2,2.9109950433040465e-05,1.0062026258505647,0.11073492698608123
4932.YJL102W,13,3,9.373077167364316e-07,1.0003246000460895,0.47750865051903113
4932.YDR455C,20,5,6.693392584980473e-14,1.000075143480804,0.0
4932.YFL036W,6,3,6.795536675152213e-07,1.0003729694452637,0.46366782006920415
4932.YHR050W,1,2,8.634956746059142e-05,1.0001467933634105,0.7346938775510203
4932.YPR080W,5,2,2.3878620083172815e-05,1.0023947821440247,0.4266493055555556
4932.YOR330C,6,2,8.385652396426108e-05,1.0002371839371698,0.7603305785123967
